연번,자료공개 여부,법 적용근거,소유자명,소유자유형,화장실명,공중화장실 구분,광역 자치단체,기초 자치단체,도로명주소,도로명 상세주소,지번주소,지번 상세주소,위도,경도,남녀공용 화장실여부,남녀 미분리 (공용)변기수,남성용-대변기수,남성용-소변기수,남성용-장애인용대변기수,남성용-장애인용소변기수,남성용-어린이용대변기수,남성용-어린이용소변기수,여성용-대변기수,여성용-장애인용 대변기수,여성용-어린이용대변기수,관리기관명,관리기관 전화번호,개방시간,설치연월,오물 처리방식,안전관리시설 설치의무 조례지정여부,비상벨 설치여부,비상벨설치장소,화장실입구 (CCTV)설치 유무,기저귀 교환대유무,기저귀교환대장소,리모델링 연월,데이터기준일자
65,Y,법제3조제16호-영제3조제1항제1호,동래구,공공기관-지방자치단체,사직제2동 행정복지센터,개방화장실,부산광역시,동래구,부산광역시 동래구 사직북로63번길 22,"(1층, 2층)",부산광역시 동래구 사직동 1036,"(1층, 2층)",35.199231,129.057503,N,0,2,4,1,2,0,0,4,1,0,동래구 사직2동행정복지센터,051-550-6467,09:00~18:00,2024.8.13,수세식,N,N,,N,Y,여자화장실,,2025.6.27
66,Y,법제3조제16호-영제3조제1항제1호,동래구,공공기관-지방자치단체,사직제1동 행정복지센터,개방화장실,부산광역시,동래구,부산광역시 동래구 석사로 19,"1, 2층",부산광역시 동래구 사직동 50-16,"1, 2층",35.198966,129.061978,N,0,2,1,1,1,0,0,1,1,0,동래구 사직1동 행정복지센터,051-550-6447,09:00~18:00,2024.4.2,수세식,N,N,,N,N,,,2025.6.27
67,Y,법제3조제16호-영제3조제1항제1호,동래구,공공기관-지방자치단체,복산동 행정복지센터,개방화장실,부산광역시,동래구,부산광역시 동래구 복천로 1,,부산광역시 동래구 복천동 564,,35.2057967,129.0860998,N,0,5,5,1,1,0,0,5,1,0,동래구 복산동 행정복지센터,051-550-6326,09:00~18:00,1997.12.1,수세식,N,N,,N,Y,남자화장실/여자화장실,2024.9.19,2025.6.27
68,Y,법제3조제15호,동래구,공공기관-지방자치단체,동래문화회관,개방화장실,부산광역시,동래구,부산광역시 동래구 문화로 80,동래문화회관,부산광역시 동래구 명륜동 137,동래문화회관,35.211995,129.090101,N,0,3,5,0,1,0,0,8,0,0,문화시설사업소,051-550-6622,00:00~24:00,1999.10.1,수세식,N,N,,N,N,,,2025.6.27
69,Y,법제3조제1호,동래구,공공기관-지방자치단체,박차정생가,개방화장실,부산광역시,동래구,부산광역시 동래구 명륜로 98번길 129-10,박차정의사 생가,부산광역시 동래구 칠산동 319-1,박차정의사 생가,35.201668,129.090362,N,0,2,1,0,0,0,0,2,1,0,문화시설사업소,051-550-6604,10:00~17:00,2024.7.5,수세식,N,N,,N,N,,,2025.6.27
70,Y,법제3조제4호,동래구,공공기관-지방자치단체,동래읍성역사관,개방화장실,부산광역시,동래구,부산광역시 동래구 동래역사관길 18,동래읍성역사관,부산광역시 동래구 복천동1-2,동래읍성역사관,35.209127,129.089157,N,0,3,5,1,0,0,0,8,1,0,문화시설사업소,051-550-6604,24시간개방,2024.3.7,수세식,N,N,,Y,N,,2024.11.22,2025.6.27
71,Y,법제3조제2호,동래구,공공기관-지방자치단체,우장춘기념관,개방화장실,부산광역시,동래구,부산광역시 동래구 우장춘로62번길 7 (온천동),우장춘기념관,부산광역시 동래구 온천동 850-48,우장춘기념관,35.213624,129.071994,N,0,1,2,0,0,0,0,2,0,0,문화시설사업소,051-550-6602,09:00~18:00,1999.10.1,수세식,N,N,,Y,N,,,2025.6.27
72,Y,법제3조제16호-영제3조제1항제1호,동래구,공공기관-지방자치단체,명장제2동 행정복지센터,개방화장실,부산광역시,동래구,부산광역시 동래구 명서로 168,,부산광역시 동래구 명장동 326-4,,35.2076534,129.101829,N,0,2,2,1,0,0,0,3,1,0,동래구 명장제2동,051-550-6567,09:00~18:00,1992.5.1,수세식,N,N,,N,N,,,2025.6.27
73,Y,법제3조제16호-영제3조제1항제4호,동래구,공공기관-지방자치단체,안락누리도서관,개방화장실,부산광역시,동래구,부산광역시 동래구 명안로 10번길 64,안락누리도서관,부산광역시 동래구 안락2동 459-4,안락누리도서관,35.197128,129.107766,N,0,5,4,1,4,0,0,9,1,1,안락누리도서관,051-550-6911,07:00~22:00,2024.11.16,수세식,N,N,,Y,Y,장애인화장실,,2025.6.27
74,Y,법제3조제16호-영제3조제1항제4호,동래구,공공기관-지방자치단체,동래읍성도서관,개방화장실,부산광역시,동래구,부산광역시 동래구 동래로159번길 153,동래읍성도서관,부산광역시 동래구 칠산동 21-1,동래읍성도서관,35.207033,129.094816,N,0,3,2,1,0,0,0,5,1,0,동래읍성도서관,051-550-6901,07:00~22:00,2024.10.15,수세식,N,N,,Y,Y,여자화장실,,2025.6.27
75,Y,법제3조제1호,동래구,공공기관-지방자치단체,동래구청,개방화장실,부산광역시,동래구,"부산광역시 동래구 온천천로359번길 70, 동래구청(낙민동)",,부산광역시 동래구 낙민동 150-3,,37.5531163,126.8331774,N,0,25,33,3,0,0,0,30,3,0,동래구청 재무과,051-550-4156,09:00~18:00,2024.2.20,수세식,N,N,여자화장실,N,N,장애인화장실,,2025.6.27
76,Y,법제3조제16호-영제3조제1항제1호,동래구,공공기관-지방자치단체,온천제2동 행정복지센터,개방화장실,부산광역시,동래구,부산광역시 동래구 충렬대로107번길 28,,부산광역시 동래구 온천동 707-3,,35.2079678,129.0729743,N,0,2,2,0,0,0,0,3,0,0,동래구 온천2동 행정복지센터,051-550-6408,09:00~18:00,1988.7.1,수세식,N,Y,여자화장실,N,N,,,2025.6.27
77,Y,법제3조제16호-영제3조제1항제1호,동래교육지원청,공공기관-지방자치단체,동래교육지원청,개방화장실,부산광역시,동래구,부산광역시 동래구 동래로 179번길 31,,부산광역시 동래구 복천동 72-8,,35.2052341,129.0904755,N,0,5,8,1,1,0,0,8,1,0,부산광역시동래교육지원청,051-550-0184,09:00~18:00,1990.10.1,수세식,N,N,,N,N,,2024.12.7,2025.6.27
78,Y,법제3조제16호-영제3조제1항제1호,동래구,공공기관-지방자치단체,온천제1동 행정복지센터,개방화장실,부산광역시,동래구,부산광역시 동래구 금강로 127,,부산광역시 동래구 온천동 221-1,,35.220197,129.080125,N,0,1,2,0,0,0,0,3,0,0,동래구 온천1동 행정복지센터,051-550-6381,09:00~18:00,1993.12.1,수세식,N,N,,N,N,,,2025.6.27
79,Y,법제3조제16호-영제3조제1항제1호,동래구,공공기관-지방자치단체,명륜동 행정복지센터,개방화장실,부산광역시,동래구,부산광역시 동래구 명륜로207번길 26,,부산광역시 동래구 명륜동 700-200,,35.212625,129.081586,N,0,4,2,0,0,0,0,7,0,0,동래구 명륜동 행정복지센터,051-550-6361,09:00~18:00,1998.2.1,수세식,N,N,,N,N,,,2025.6.27
80,Y,법제3조제17호-영제3조제1항제5호,새들원,민간-법인,새들원화장실,개방화장실,부산광역시,동래구,부산광역시 동래구 금정마을로 83,,부산광역시 동래구 온천동 1119-122,,35.213673,129.064389,N,0,2,2,0,0,0,0,2,0,0,새들원,051-555-1104,09:00~18:00,1945.1.1,수세식,N,N,,N,N,,,2025.6.27
81,Y,법제3조제17호-영제3조제2항제1호,한국전력 동래지사,공공기관-국가공공기관,한국전력 동래지사,개방화장실,부산광역시,동래구,부산광역시 동래구 충렬대로 423,,부산광역시 동래구 안락동 451-10,,35.196868,129.104902,N,0,8,8,0,0,0,0,12,0,0,한국전력 동래지사,123,09:00~18:00,1982.1.1,수세식,N,N,,N,N,,,2025.6.27
82,Y,법제3조제17호-영제3조제1항제3호,건강관리협회,민간-법인,건강관리협회,개방화장실,부산광역시,동래구,부산광역시 동래구 충렬대로 145,,부산광역시 동래구 온천동 1438-2,,35.205391,129.07654,N,0,12,13,0,0,0,0,14,0,0,한국건강관리협회,051-553-6400,09:00~18:00,1986.11.1,수세식,N,N,,N,N,,,2025.6.27
83,Y,법제3조제17호-영제3조제2항제1호,KT동래지사,민간-법인,KT동래지사,개방화장실,부산광역시,동래구,부산광역시 동래구 명륜로 116,,부산광역시 동래구 명륜동 386,,35.20419,129.083065,N,0,18,12,1,1,0,0,24,1,0,KT 동래지사,100,09:00~18:00,2000.1.1,수세식,N,N,,N,N,,,2025.6.27
84,Y,법제3조제2호,부산광역시,공공기관-지방자치단체,동래향교,개방화장실,부산광역시,동래구,부산광역시 동래구 동래로 103,,부산광역시 동래구 명륜동 235,,35.207899,129.084182,N,0,2,3,1,0,0,0,3,0,0,부산광역시향교재단,051-550-4086,09:00~18:00,2024.5.13,수세식,N,N,,N,N,,,2025.6.27
85,Y,법제3조제16호-영제3조제1항제1호,동래경찰서,공공기관-국가공공기관,동래경찰서,개방화장실,부산광역시,동래구,부산광역시 동래구 명륜로 70,,부산광역시 동래구 수안동 158-1,,35.200596,129.084754,N,0,30,24,1,0,0,0,40,0,0,동래경찰서,051-559-7324,09:00~18:00,1945.10.1,수세식,N,N,,Y,N,,,2025.6.27
86,Y,법제3조제16호-영제3조제1항제1호,동래경찰서,공공기관-국가공공기관,충렬지구대,개방화장실,부산광역시,동래구,부산광역시 동래구 반송로 207,,부산광역시 동래구 안락동 420-77,,35.19973,129.097154,N,0,1,1,1,0,0,0,1,0,0,충렬지구대,051-522-1042,09:00~18:00,1945.10.1,수세식,N,N,,Y,N,,,2025.6.27
87,Y,법제3조제16호-영제3조제1항제1호,동래소방서,공공기관-국가공공기관,온천119안전센터,개방화장실,부산광역시,동래구,부산광역시 동래구 우장춘로 196,,부산광역시 동래구 온천동 102-8,,35.223455,129.077582,N,0,8,6,0,0,0,0,14,0,0,온천119안전센터,051-760-6331,09:00~18:00,1967.6.1,수세식,N,N,,Y,N,,,2025.6.27
88,Y,법제3조제16호-영제3조제1항제1호,동래소방서,공공기관-국가공공기관,사직119안전센터,개방화장실,부산광역시,동래구,부산광역시 동래구 체육공원로 74,,부산광역시 동래구 사직동 749-5,,35.194024,129.059662,N,0,2,3,0,0,0,0,1,0,0,사직119안전센터,051-506-0119,09:00~18:00,1967.6.1,수세식,N,N,,N,N,,,2025.6.27
89,Y,법제3조제16호-영제3조제1항제1호,동래소방서,공공기관-국가공공기관,서동119안전센터,개방화장실,부산광역시,동래구,부산광역시 동래구 반송로 331,,부산광역시 동래구 명장동 333-6,,35.209236,129.103325,N,0,2,1,0,0,0,0,1,0,0,서동119안전센터,051-760-6723,09:00~18:00,1967.6.1,수세식,N,N,,N,N,,,2025.6.27
90,Y,법제3조제16호-영제3조제1항제1호,동래소방서,공공기관-국가공공기관,수안119안전센터,개방화장실,부산광역시,동래구,부산광역시 동래구 명륜로45번길 7,,부산광역시 동래구 수안동 11-5,,35.198188,129.083828,N,0,7,5,0,0,0,0,1,0,0,수안119안전센터,051-553-0119,09:00~18:00,1967.6.1,수세식,N,N,,Y,N,,,2025.6.27
91,Y,법제3조제17호-영제3조제1항제5호,동래구장애인복지관,공공기관-지방자치단체,동래구 장애인복지관,개방화장실,부산광역시,동래구,부산광역시 동래구 충렬대로 386,,부산광역시 동래구 안락동 436-19,,35.197146,129.100407,N,0,9,8,1,0,0,0,12,0,0,동래구 장애인복지관,051-522-1650,09:00~18:00,2024.12.8,수세식,N,N,,Y,N,,,2025.6.27
92,Y,법제3조제17호-영제3조제1항제5호,동래종합사회복지관,공공기관-지방자치단체,동래종합사회복지관,개방화장실,부산광역시,동래구,부산광역시 동래구 시실로107번길 151,,부산광역시 동래구 명장동 508-72,,35.211173,129.098398,N,0,6,8,1,0,0,0,8,0,0,동래종합사회복지관,051-531-2460,09:00~18:00,1998.1.1,수세식,N,Y,남자화장실/여자화장실/장애인화장실,N,N,,,2025.6.27
93,Y,법제3조제17호-영제3조제1항제5호,사직종합사회복지관,공공기관-지방자치단체,사직종합사회복지관,개방화장실,부산광역시,동래구,부산광역시 동래구 사직북로63번길 20-7,,부산광역시 동래구 사직동 29-9,,35.199174,129.057342,N,0,6,10,1,0,0,0,12,0,0,사직종합사회복지관,051-506-5757,09:00~18:00,1997.8.1,수세식,N,N,,N,N,,,2025.6.27
94,Y,법제3조제17호-영제3조제1항제5호,동래구노인복지관,공공기관-지방자치단체,동래구노인복지관,개방화장실,부산광역시,동래구,부산광역시 동래구 명륜로207번길 18,,부산광역시 동래구 명륜동 700-199,,35.212392,129.081969,N,0,8,11,1,0,0,0,8,0,0,동래구노인복지관,051-554-6252,09:00~18:00,2024.10.8,수세식,N,N,,N,N,,,2025.6.27
